"id_name","event_date","false_creation_date_per_AF_year","creation_date_per_AF_year","id","name","yes_year","dates_yes","rsvp_yes_count","dates_yes_cumsum","days_to_event","yes_day","yes_month","dates_yes_otheryear","relative_today_cumsum","yes_year_factor"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-23,2,21,19,23,2,2020-02-23,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-24,0,21,18,24,2,2020-02-24,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-25,2,23,17,25,2,2020-02-25,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-26,1,24,16,26,2,2020-02-26,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-27,2,26,15,27,2,2020-02-27,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-02-28,0,26,14,28,2,2020-02-28,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-01,1,27,13,1,3,2020-03-01,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-02,0,27,12,2,3,2020-03-02,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-03,1,28,11,3,3,2020-03-03,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-04,3,31,10,4,3,2020-03-04,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-05,1,32,9,5,3,2020-03-05,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-06,0,32,8,6,3,2020-03-06,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-07,0,32,7,7,3,2020-03-07,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-08,2,34,6,8,3,2020-03-08,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-09,1,35,5,9,3,2020-03-09,38,"2015"
"AF15",2015-03-14,"2015-01-16",2015-01-16,"219885748","Analytics Forward - An Unconference",2015,2015-03-10,3,38,4,10,3,2020-03-10,38,"2015"
